IATACode,ICAOCode,Model,Aircraft_Manufacturer,WingType,Type,Manufacturer
DHR,DH2T,De Havilland Canada DHC-2 Turbo-Beaver,De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
(undefined),DH64,De Havilland Comet 4 (deprecated code),De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
D11,DC10,Douglas DC-10-10 / -15 Passenger,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
DH7,DHC7,De Havilland Canada DHC-7 Dash 7,De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
D3F,DC3,Douglas DC-3,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
(undefined),DH62,De Havilland Comet 2 (deprecated code),De Havilland Aircraft of Canada,Fixed Wing,Airplane,De Havilland Aircraft of Canada
N/A,DA62,Diamond DA62,Diamond Aircraft Industries,Fixed Wing,Airplane,Diamond Aircraft Industries
D1M,DC10,Douglas DC-10-30 Combi,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
D91,DC91,Douglas DC-9-10,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
D8Q,DC87,Douglas DC-8-72,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
D93,DC93,Douglas DC-9-30,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
D95,DC95,Douglas DC-9-50,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
D92,DC92,Douglas DC-9-20,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
E7W,E75L,Embraer 175 (long wing),Embraer,Fixed Wing,Airplane,Embraer
E75,E75S/L,Embraer 175,Embraer,Fixed Wing,Airplane,Embraer
E90,E190,Embraer 190,Embraer,Fixed Wing,Airplane,Embraer
295,E295,Embraer E195-E2,Embraer,Fixed Wing,Airplane,Embraer
290,E290,Embraer E190-E2,Embraer,Fixed Wing,Airplane,Embraer
EM2,E120,Embraer EMB 120 Brasilia,Embraer,Fixed Wing,Airplane,Embraer
ER3,E35L,Embraer Legacy 600 / Legacy 650,Embraer,Fixed Wing,Airplane,Embraer
N/A,E550,Embraer Legacy 500 / Praetor 600,Embraer,Fixed Wing,Airplane,Embraer
D8L,DC86,Douglas DC-8-62,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
EP1,E50P,Embraer Phenom 100,Embraer,Fixed Wing,Airplane,Embraer
ER3,E135,Embraer RJ135,Embraer,Fixed Wing,Airplane,Embraer
ERD,E135,Embraer RJ140,Embraer,Fixed Wing,Airplane,Embraer
NDH,S65C,Eurocopter (Aerospatiale) SA365C / SA365N Dauphin 2,Eurocopter,Rotary Wing,Helicopter,Eurocopter
APH,AS32,Eurocopter AS332 Super Puma,Eurocopter,Rotary Wing,Helicopter,Eurocopter
NDE,AS50,Eurocopter AS350 ??cureuil / AS355 Ecureuil 2 / AS550 Fennec,Eurocopter,Rotary Wing,Helicopter,Eurocopter
N/A,EC35,Eurocopter EC135 / EC635,Eurocopter,Rotary Wing,Helicopter,Eurocopter
N/A,EC25,Eurocopter EC225 Super Puma,Eurocopter,Rotary Wing,Helicopter,Eurocopter
D94,DC94,Douglas DC-9-40,McDonnell Douglas,Fixed Wing,Airplane,McDonnell Douglas
N/A,EV97,EV-97 EuroStar / EV-97 Harmony,Evektor-Aerotechnik,Fixed Wing,Airplane,Evektor-Aerotechnik
FRJ,J328,Fairchild Dornier 328JET,Dornier Luftfahrt,Fixed Wing,Airplane,Dornier Luftfahrt
D38,D328,Fairchild Dornier Do.328,Dornier Luftfahrt,Fixed Wing,Airplane,Dornier Luftfahrt
100,F100,Fokker 100,Fokker,Fixed Wing,Airplane,Fokker
F70,F70,Fokker 70,Fokker,Fixed Wing,Airplane,Fokker
F21,F28,Fokker F28 Fellowship,Fokker,Fixed Wing,Airplane,Fokker
E70,E170,Embraer 170,Embraer,Fixed Wing,Airplane,Embraer
N/A,GA8,GippsAero GA8 Airvan,GippsAero,Fixed Wing,Airplane,GippsAero
GRG,G21,Grumman G-21 Goose,Grumman,Fixed Wing,Airplane,Grumman
GRS,G159,Gulfstream Aerospace G-159 Gulfstream I,Gulfstream,Fixed Wing,Airplane,Gulfstream
GR3,G280,Gulfstream G280,Gulfstream,Fixed Wing,Airplane,Gulfstream
GJ4,GLF4,Gulfstream IV,Gulfstream,Fixed Wing,Airplane,Gulfstream
ACP,AC68,Gulfstream/Rockwell (Aero) Commander,Gulfstream,Fixed Wing,Airplane,Gulfstream
E7W,E75S,Embraer 175 (short wing),Embraer,Fixed Wing,Airplane,Embraer
